V1,V2,V3,V4,V5,V6,V7
vhigh,vhigh,2,2,small,,unacc
vhigh,vhigh,2,2,small,,
vhigh,vhigh,2,2,small,,
vhigh,vhigh,2,2,med,low,
vhigh,vhigh,2,2,med,med,unacc
vhigh,vhigh,2,2,med,high,
vhigh,vhigh,2,2,big,low,unacc
vhigh,vhigh,2,2,big,,unacc
vhigh,vhigh,2,2,big,,unacc
vhigh,vhigh,2,4,small,,
vhigh,vhigh,2,4,small,med,
vhigh,vhigh,2,4,small,,
vhigh,vhigh,2,4,med,low,unacc
vhigh,vhigh,2,4,med,med,unacc
vhigh,vhigh,2,4,med,high,unacc
vhigh,vhigh,2,4,big,low,
vhigh,vhigh,2,4,big,,
vhigh,vhigh,2,4,big,,unacc
vhigh,vhigh,2,more,small,,
vhigh,vhigh,2,more,small,,unacc
vhigh,vhigh,2,more,small,,unacc
vhigh,vhigh,2,more,med,low,unacc
vhigh,vhigh,2,more,med,med,
vhigh,vhigh,2,more,med,high,unacc
vhigh,vhigh,2,more,big,low,unacc
vhigh,vhigh,2,more,big,med,unacc
vhigh,vhigh,2,more,big,high,
vhigh,vhigh,3,2,small,,unacc
vhigh,vhigh,3,2,small,,
vhigh,vhigh,3,2,small,high,
vhigh,vhigh,3,2,med,low,
vhigh,vhigh,3,2,med,med,unacc
vhigh,vhigh,3,2,med,high,
vhigh,vhigh,3,2,big,,unacc
vhigh,vhigh,3,2,big,,unacc
vhigh,vhigh,3,2,big,,
vhigh,vhigh,3,4,small,,
vhigh,vhigh,3,4,small,med,
vhigh,vhigh,3,4,small,high,
vhigh,vhigh,3,4,med,low,unacc
vhigh,vhigh,3,4,med,med,unacc
vhigh,vhigh,3,4,med,high,
vhigh,vhigh,3,4,big,,
vhigh,vhigh,3,4,big,,unacc
vhigh,vhigh,3,4,big,,unacc
vhigh,vhigh,3,more,small,,
vhigh,vhigh,3,more,small,med,unacc
vhigh,vhigh,3,more,small,,unacc
vhigh,vhigh,3,more,med,low,
vhigh,vhigh,3,more,med,med,unacc
vhigh,vhigh,3,more,med,high,
vhigh,vhigh,3,more,big,,unacc
vhigh,vhigh,3,more,big,med,unacc
vhigh,vhigh,3,more,big,,unacc
