V1,V2,V3,V4,V5,V6,V7
vhigh,vhigh,2,2,small,low,unacc
vhigh,vhigh,2,2,small,,unacc
,vhigh,2,2,small,high,unacc
vhigh,vhigh,2,,med,,unacc
vhigh,vhigh,2,2,med,,unacc
,vhigh,2,2,med,,unacc
vhigh,vhigh,2,2,,low,unacc
vhigh,vhigh,2,2,big,med,unacc
vhigh,vhigh,2,2,big,,unacc
vhigh,vhigh,2,4,small,,unacc
vhigh,vhigh,2,4,small,med,unacc
vhigh,vhigh,2,4,,high,unacc
,vhigh,2,4,med,low,unacc
vhigh,vhigh,2,4,med,med,unacc
,vhigh,2,4,,high,unacc
vhigh,vhigh,2,4,,low,unacc
vhigh,vhigh,2,,,med,unacc
,vhigh,2,4,big,,unacc
vhigh,vhigh,2,,small,low,unacc
vhigh,vhigh,2,,small,,unacc
vhigh,vhigh,2,,small,high,unacc
vhigh,vhigh,2,more,med,low,unacc
vhigh,vhigh,2,more,,,unacc
vhigh,vhigh,2,more,med,high,unacc
vhigh,vhigh,2,more,big,low,unacc
,vhigh,2,more,big,med,unacc
vhigh,vhigh,2,more,big,,unacc
vhigh,vhigh,3,2,small,,unacc
vhigh,vhigh,3,2,small,med,unacc
,vhigh,3,2,small,high,unacc
,vhigh,3,2,,low,unacc
,vhigh,3,,,,unacc
vhigh,vhigh,3,2,med,high,unacc
vhigh,vhigh,3,2,big,low,unacc
vhigh,vhigh,3,2,big,,unacc
vhigh,vhigh,3,,big,,unacc
vhigh,vhigh,3,4,small,low,unacc
vhigh,vhigh,3,,,,unacc
,vhigh,3,4,small,high,unacc
vhigh,vhigh,3,4,med,low,unacc
vhigh,vhigh,3,4,,,unacc
vhigh,vhigh,3,,med,high,unacc
vhigh,vhigh,3,4,,low,unacc
,vhigh,3,4,big,,unacc
,vhigh,3,,,high,unacc
vhigh,vhigh,3,more,small,,unacc
vhigh,vhigh,3,more,small,med,unacc
vhigh,vhigh,3,more,small,high,unacc
vhigh,vhigh,3,,,low,unacc
vhigh,vhigh,3,more,med,med,unacc
vhigh,vhigh,3,more,med,,unacc
,vhigh,3,,big,low,unacc
vhigh,vhigh,3,more,,med,unacc
vhigh,vhigh,3,more,big,,unacc
vhigh,vhigh,4,2,small,low,unacc
vhigh,vhigh,4,2,,,unacc
,vhigh,4,2,small,,unacc
,vhigh,4,2,,,unacc
,vhigh,4,2,,med,unacc
,vhigh,4,2,,,unacc
vhigh,vhigh,4,,big,low,unacc
,vhigh,4,,big,med,unacc
vhigh,vhigh,4,2,,,unacc
,vhigh,4,4,small,,unacc
vhigh,vhigh,4,4,small,,unacc
vhigh,vhigh,4,4,,high,unacc
,vhigh,4,4,med,low,unacc
,vhigh,4,,med,med,unacc
vhigh,vhigh,4,4,med,,unacc
vhigh,vhigh,4,4,big,low,unacc
vhigh,vhigh,4,4,,med,unacc
vhigh,vhigh,4,4,,high,unacc
vhigh,vhigh,4,more,,low,unacc
vhigh,vhigh,4,more,small,med,unacc
vhigh,vhigh,4,more,small,high,unacc
vhigh,vhigh,4,more,med,low,unacc
vhigh,vhigh,4,more,med,,unacc
,vhigh,4,more,med,,unacc
vhigh,vhigh,4,more,,low,unacc
vhigh,vhigh,4,,,,unacc
vhigh,vhigh,4,more,big,high,unacc
vhigh,vhigh,5more,2,,low,unacc
vhigh,vhigh,5more,2,small,,unacc
vhigh,vhigh,5more,,small,,unacc
,vhigh,5more,2,med,low,unacc
vhigh,vhigh,5more,2,med,med,unacc
vhigh,vhigh,5more,2,med,,unacc
vhigh,vhigh,5more,2,,,unacc
,vhigh,5more,2,big,,unacc
vhigh,vhigh,5more,,,,unacc
vhigh,vhigh,5more,4,small,low,unacc
vhigh,vhigh,5more,4,,med,unacc
,vhigh,5more,4,,high,unacc
vhigh,vhigh,5more,4,,,unacc
vhigh,vhigh,5more,4,med,,unacc
vhigh,vhigh,5more,4,med,,unacc
vhigh,vhigh,5more,4,,low,unacc
vhigh,vhigh,5more,4,,med,unacc
vhigh,vhigh,5more,4,,high,unacc
,vhigh,5more,more,small,low,unacc
vhigh,vhigh,5more,more,small,med,unacc
vhigh,vhigh,5more,more,,,unacc
