V1,V2,V3,V4,V5,V6,V7
vhigh,vhigh,,,small,low,unacc
vhigh,vhigh,2,,small,med,unacc
vhigh,vhigh,,2,small,high,unacc
vhigh,vhigh,2,,med,low,unacc
vhigh,vhigh,,2,med,med,unacc
vhigh,vhigh,,,med,high,unacc
vhigh,vhigh,,2,big,low,
vhigh,vhigh,,2,big,med,
vhigh,vhigh,,2,big,high,unacc
vhigh,vhigh,,,small,low,unacc
vhigh,vhigh,,4,small,med,unacc
vhigh,vhigh,,4,small,high,unacc
vhigh,vhigh,,4,med,low,unacc
vhigh,vhigh,,4,med,med,unacc
vhigh,vhigh,2,4,med,high,unacc
vhigh,vhigh,,4,big,low,unacc
vhigh,vhigh,2,4,big,med,
vhigh,vhigh,,4,big,high,unacc
vhigh,vhigh,,more,small,low,unacc
vhigh,vhigh,,more,small,med,unacc
vhigh,vhigh,2,more,small,high,unacc
vhigh,vhigh,2,more,med,low,unacc
vhigh,vhigh,,more,med,med,unacc
vhigh,vhigh,2,more,med,high,unacc
vhigh,vhigh,,more,big,low,unacc
vhigh,vhigh,,more,big,med,
vhigh,vhigh,,,big,high,unacc
vhigh,vhigh,3,2,small,low,unacc
vhigh,vhigh,,2,small,med,unacc
vhigh,vhigh,,2,small,high,unacc
vhigh,vhigh,,2,med,low,unacc
vhigh,vhigh,3,2,med,med,
vhigh,vhigh,,2,med,high,unacc
vhigh,vhigh,3,2,big,low,
vhigh,vhigh,,2,big,med,
vhigh,vhigh,,2,big,high,
vhigh,vhigh,3,4,small,low,unacc
vhigh,vhigh,3,4,small,med,unacc
vhigh,vhigh,3,4,small,high,unacc
vhigh,vhigh,,4,med,low,unacc
vhigh,vhigh,3,4,med,med,unacc
vhigh,vhigh,,4,med,high,unacc
vhigh,vhigh,3,4,big,low,unacc
vhigh,vhigh,,4,big,med,
vhigh,vhigh,,4,big,high,unacc
vhigh,vhigh,3,more,small,low,unacc
vhigh,vhigh,3,,small,med,
vhigh,vhigh,3,more,small,high,unacc
vhigh,vhigh,3,more,med,low,unacc
vhigh,vhigh,,more,med,med,unacc
vhigh,vhigh,,more,med,high,unacc
vhigh,vhigh,,more,big,low,unacc
vhigh,vhigh,,more,big,med,
vhigh,vhigh,,more,big,high,unacc
vhigh,vhigh,,2,small,low,unacc
vhigh,vhigh,,2,small,med,
vhigh,vhigh,4,2,small,high,
vhigh,vhigh,4,2,med,low,unacc
vhigh,vhigh,4,2,med,med,unacc
vhigh,vhigh,4,2,med,high,unacc
vhigh,vhigh,4,2,big,low,unacc
vhigh,vhigh,,,big,med,unacc
vhigh,vhigh,,,big,high,unacc
vhigh,vhigh,4,4,small,low,unacc
vhigh,vhigh,,4,small,med,unacc
vhigh,vhigh,4,4,small,high,unacc
vhigh,vhigh,,4,med,low,unacc
vhigh,vhigh,,4,med,med,unacc
vhigh,vhigh,4,,med,high,unacc
vhigh,vhigh,,,big,low,unacc
vhigh,vhigh,4,,big,med,
vhigh,vhigh,4,4,big,high,unacc
vhigh,vhigh,4,more,small,low,unacc
vhigh,vhigh,,more,small,med,unacc
vhigh,vhigh,,more,small,high,
vhigh,vhigh,4,more,med,low,unacc
vhigh,vhigh,,more,med,med,
vhigh,vhigh,,more,med,high,unacc
vhigh,vhigh,4,more,big,low,unacc
vhigh,vhigh,4,more,big,med,unacc
vhigh,vhigh,4,more,big,high,unacc
vhigh,vhigh,5more,2,small,low,unacc
vhigh,vhigh,5more,2,small,med,
vhigh,vhigh,,2,small,high,unacc
vhigh,vhigh,,2,med,low,unacc
vhigh,vhigh,5more,,med,med,unacc
vhigh,vhigh,5more,2,med,high,unacc
vhigh,vhigh,5more,,big,low,unacc
vhigh,vhigh,5more,2,big,med,
vhigh,vhigh,5more,2,big,high,unacc
vhigh,vhigh,,4,small,low,unacc
vhigh,vhigh,,,small,med,unacc
vhigh,vhigh,,,small,high,unacc
vhigh,vhigh,5more,4,med,low,unacc
vhigh,vhigh,,4,med,med,
vhigh,vhigh,5more,4,med,high,unacc
vhigh,vhigh,,4,big,low,unacc
vhigh,vhigh,5more,4,big,med,
vhigh,vhigh,,4,big,high,unacc
vhigh,vhigh,,more,small,low,unacc
vhigh,vhigh,5more,,small,med,
vhigh,vhigh,,more,small,high,unacc
vhigh,vhigh,,,med,low,unacc
vhigh,vhigh,5more,,med,med,
vhigh,vhigh,,more,med,high,unacc
vhigh,vhigh,,more,big,low,unacc
vhigh,vhigh,5more,more,big,med,
vhigh,vhigh,5more,,big,high,unacc
vhigh,high,2,2,small,low,unacc
vhigh,high,,2,small,med,
vhigh,high,,2,small,high,
vhigh,high,2,2,med,low,unacc
vhigh,high,2,2,med,med,
