class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-color,ring-number,ring-type,spore-print-color,population,habitat
p,x,,n,t,p,f,c,n,,e,e,s,s,w,w,w,o,p,k,s,u
e,x,s,y,t,a,f,c,b,k,e,,s,s,w,w,w,o,p,n,n,g
e,b,s,w,t,l,f,c,b,n,e,,s,s,w,w,w,o,p,n,n,m
p,x,y,w,t,p,f,c,n,n,e,e,s,s,w,w,w,o,p,,s,u
e,x,s,g,f,n,f,,b,k,t,e,s,s,w,w,w,o,e,,a,g
e,x,,,t,a,f,,b,n,e,c,s,s,w,w,w,o,p,k,n,g
e,b,s,w,t,a,f,c,b,g,e,,s,s,w,w,w,,p,k,n,m
e,b,y,w,t,l,f,,b,n,e,,s,s,w,w,w,o,p,n,s,m
p,x,y,w,t,p,f,c,n,p,e,,s,s,w,w,w,o,p,k,v,g
e,b,,y,t,a,f,c,b,g,e,,s,s,w,w,w,o,p,k,,m
e,x,,y,,l,f,c,b,g,e,,s,s,w,w,w,o,p,n,n,g
e,x,,y,t,a,f,c,b,n,e,c,s,s,w,w,w,o,p,k,s,m
e,b,,y,t,a,f,,b,,e,,s,s,w,w,w,o,p,n,s,g
p,x,y,w,,p,f,c,n,k,e,e,s,s,w,w,w,o,p,n,v,u
e,x,f,n,f,n,f,w,b,n,t,e,s,f,w,w,w,o,e,k,a,g
e,s,,g,f,n,f,,n,k,e,e,s,s,w,w,w,o,p,,y,u
e,f,f,w,,n,f,w,b,k,t,e,s,s,w,w,w,o,e,n,a,g
p,x,s,n,t,p,f,c,n,n,e,e,s,s,w,w,w,,p,k,s,g
p,x,y,w,,p,f,c,n,n,e,e,s,s,w,w,w,,p,n,s,u
p,x,s,n,,p,f,c,n,k,e,e,s,s,w,w,w,o,p,,s,u
e,b,s,y,t,a,f,c,b,,e,,s,s,w,w,w,o,p,n,s,m
p,x,y,n,,p,f,c,n,n,e,e,s,s,w,w,w,o,p,,v,g
e,b,y,y,t,l,f,c,b,k,e,,s,s,w,w,w,o,p,n,s,m
e,b,,w,t,a,f,c,b,w,e,c,s,s,w,w,w,o,p,n,n,m
e,b,s,,t,l,f,,b,g,e,,s,s,w,w,w,,p,k,s,m
p,f,s,w,t,p,f,c,n,n,e,e,s,s,w,w,w,o,p,,,g
e,x,y,y,t,a,f,c,b,n,e,,s,s,w,w,w,o,p,n,n,m
e,x,y,w,t,l,f,c,b,w,e,,s,s,w,w,w,o,p,n,n,m
e,f,f,n,f,n,f,,n,k,e,e,s,s,w,w,w,o,p,k,y,u
e,x,s,y,t,a,f,,n,n,t,,s,s,w,w,w,,p,n,v,d
e,b,,y,t,l,f,c,b,g,e,,s,s,w,w,w,o,p,,n,m
p,x,,w,t,p,f,c,n,,e,e,s,s,w,w,w,o,p,n,s,u
e,x,y,y,t,l,f,c,b,n,e,c,s,s,w,w,w,o,p,n,n,m
e,x,y,n,t,l,f,c,b,,e,,s,y,w,w,w,o,p,n,y,p
e,b,y,y,t,l,f,,b,n,e,,s,s,w,w,w,o,p,n,s,m
e,x,f,y,t,l,f,,n,w,t,,s,s,w,w,w,o,p,n,v,d
e,s,f,g,f,n,f,c,n,k,e,e,s,s,w,w,w,o,p,k,v,u
p,x,y,,t,p,f,c,n,w,e,e,s,s,w,w,w,o,p,n,s,u
e,x,f,y,t,a,f,w,n,p,t,,s,s,w,w,w,o,p,n,v,d
e,b,s,y,,l,f,c,b,k,e,c,s,s,w,w,w,o,p,k,s,m
e,b,y,y,t,a,f,c,b,n,e,,s,s,w,w,w,,p,n,s,g
e,x,,y,t,l,f,c,b,n,e,,s,y,w,w,w,o,p,k,y,p
e,x,f,n,f,n,f,c,n,g,e,e,s,s,w,w,w,o,p,k,y,u
p,x,y,w,t,p,f,c,n,p,e,e,s,s,w,w,w,,p,,v,g
e,x,s,y,,a,f,c,b,w,e,,s,s,w,w,w,o,p,k,n,m
e,x,,w,t,a,f,c,b,n,e,c,s,s,w,w,w,o,p,n,n,g
e,x,y,y,t,l,f,c,b,k,e,,s,s,w,w,w,o,p,k,s,m
e,x,s,w,t,l,f,c,b,w,e,c,s,s,w,w,w,o,p,,,m
e,x,y,y,t,l,f,c,b,n,e,,s,y,w,w,w,o,p,n,s,p
e,f,y,y,t,l,f,c,b,w,e,,s,y,w,w,w,o,p,k,s,p
e,x,,n,,a,f,c,b,w,e,r,s,y,w,w,w,o,p,k,s,g
e,x,s,w,t,l,f,c,b,k,e,,s,s,w,w,w,o,p,k,s,g
e,b,,w,t,l,f,c,b,k,e,,s,s,w,w,w,o,p,n,n,m
p,x,y,n,t,p,,,n,k,e,e,s,s,w,w,w,o,p,,v,u
p,x,s,w,t,p,f,c,n,k,e,e,s,s,w,w,w,o,p,,v,u
e,b,,y,t,a,f,c,b,w,e,,s,s,w,w,w,o,p,k,s,m
e,f,f,g,,n,f,w,b,n,t,e,s,s,w,w,w,o,e,,a,g
e,b,s,w,t,a,f,c,b,w,e,,s,s,w,w,w,,p,n,n,g
e,x,s,y,t,l,f,c,b,k,e,c,s,s,w,w,w,o,p,k,n,g
e,x,y,n,t,a,f,c,b,p,e,r,s,y,w,w,w,o,p,k,y,p
e,s,f,g,f,n,f,c,n,k,e,e,s,s,w,w,w,o,p,,v,u
e,b,y,y,t,a,f,c,b,k,e,,s,s,w,w,w,o,p,n,s,m
e,b,s,y,,l,f,,b,g,e,c,s,s,w,w,w,o,p,n,s,m
e,b,,y,t,l,f,,b,,e,,s,s,w,w,w,o,p,n,n,m
e,b,y,w,t,l,f,,b,n,e,,s,s,w,w,w,o,p,n,s,g
e,f,,n,f,n,f,,b,k,t,e,s,s,w,w,w,o,e,k,a,g
e,x,s,w,,l,f,,b,n,e,,s,s,w,w,w,o,p,k,s,g
e,f,y,y,t,a,f,,b,w,e,,s,y,w,w,w,o,p,n,s,g
e,x,y,,,a,f,,b,w,e,c,s,s,w,w,w,o,p,k,n,g
e,x,f,g,f,n,f,c,n,p,e,e,s,s,w,w,w,,p,n,,u
e,f,f,y,t,l,f,w,n,p,t,b,s,s,w,w,w,o,p,n,v,d
e,b,y,w,t,l,f,c,b,g,e,,s,s,w,w,w,o,p,n,s,m
e,f,f,y,t,l,f,w,n,w,t,,s,s,w,w,w,o,p,,v,d
e,x,y,n,t,a,f,,b,p,e,,s,y,w,w,w,o,p,k,,p
e,b,s,y,t,a,f,c,b,k,e,c,s,s,w,w,w,o,p,k,s,g
e,f,s,y,t,l,f,w,n,p,t,b,s,s,w,w,w,o,p,n,v,d
e,x,,w,t,l,f,,n,n,t,b,s,s,w,w,w,o,p,u,v,d
e,f,y,n,,l,f,,b,p,e,r,s,y,w,w,w,o,p,n,y,p
p,x,y,n,t,p,f,c,n,w,e,e,s,s,w,w,w,o,p,n,v,u
e,f,y,n,t,a,f,c,b,n,e,r,s,y,w,w,w,o,p,n,y,g
e,x,,n,f,n,f,w,b,k,t,e,f,s,w,w,w,o,e,n,s,g
p,x,y,w,t,p,f,c,n,w,e,e,s,s,w,w,w,o,p,,s,g
e,f,,g,f,n,f,,n,n,e,e,s,s,w,w,w,o,p,n,y,u
e,x,f,g,,n,f,w,b,n,t,e,s,s,w,w,w,o,e,n,s,g
e,x,y,y,t,l,f,,b,w,e,,s,y,w,w,w,o,p,k,s,g
e,x,s,n,f,n,f,w,b,k,t,e,s,s,w,w,w,o,e,k,s,g
e,b,s,,t,a,f,,b,w,e,,s,s,w,w,w,o,p,k,s,g
e,x,s,w,t,l,f,c,b,n,e,c,s,s,w,w,w,o,p,n,s,g
e,f,y,n,,l,f,,b,w,e,r,s,y,w,w,w,o,p,k,y,g
e,s,f,n,f,n,f,c,n,n,e,e,s,s,w,w,w,,p,,v,u
e,x,f,n,f,n,f,c,n,n,e,e,s,s,w,w,w,o,p,n,y,u
e,b,s,w,t,l,f,c,b,k,e,,s,s,w,w,w,o,p,k,s,g
e,x,y,y,,a,f,c,b,g,e,c,s,s,w,w,w,o,p,k,s,g
e,x,,y,t,l,f,c,b,g,e,,s,s,w,w,w,o,p,k,n,m
e,x,,n,f,n,f,w,b,n,t,e,s,s,w,w,w,o,e,n,a,g
e,x,,w,,a,f,c,b,g,e,,s,s,w,w,w,o,p,n,s,g
e,f,,n,,l,f,c,b,p,e,,s,y,w,w,w,o,p,n,s,g
e,x,s,y,t,a,f,c,b,n,e,,s,s,w,w,w,o,p,k,n,g
e,b,s,w,,a,f,c,b,g,e,,s,s,w,w,w,o,p,n,s,g
e,x,y,w,t,a,f,c,b,g,e,,s,s,w,w,w,o,p,k,s,g
e,x,f,n,,n,f,w,b,p,t,e,f,s,w,w,w,o,e,k,s,g
e,b,s,y,t,l,f,c,b,n,e,c,s,s,w,w,w,o,p,k,n,g
e,f,,y,t,l,f,c,b,w,e,,s,y,w,w,w,o,p,n,s,g
e,x,y,y,t,a,f,c,b,n,e,,s,y,w,w,w,,p,,y,p
e,b,,w,t,l,f,c,b,g,e,,s,s,w,w,w,,p,n,n,g
e,x,y,y,t,a,f,c,b,n,e,,s,s,w,w,w,o,p,k,n,m
e,x,,y,t,a,f,c,b,w,e,,s,y,w,w,w,o,p,n,y,g
e,b,,w,t,l,f,c,b,n,e,c,s,s,w,w,w,o,p,k,s,m
e,b,y,w,,a,f,c,b,g,e,,s,s,w,w,w,,p,n,s,m
e,x,s,y,t,a,f,c,b,k,e,c,s,s,w,w,w,o,p,k,n,m
e,x,s,y,t,l,f,c,b,w,e,c,s,s,w,w,w,o,p,k,n,g
e,s,f,,f,n,f,c,n,g,e,e,s,s,w,w,w,o,p,k,y,u
e,x,f,w,t,a,f,,n,w,t,,s,s,w,w,w,o,p,u,v,d
e,x,s,y,t,a,f,,b,n,e,,s,s,w,w,w,o,p,k,n,m
p,x,y,w,,p,f,,n,n,e,e,s,s,w,w,w,o,p,n,v,u
e,x,y,y,t,l,f,,b,p,e,r,s,y,w,w,w,o,p,n,s,g
e,s,f,g,,n,f,,n,p,e,e,s,s,w,w,w,o,p,n,y,u
e,x,,y,,l,f,c,b,w,e,r,s,y,w,w,w,o,p,k,y,g
e,x,s,y,t,l,f,w,n,p,t,,s,s,w,w,w,o,p,u,v,d
e,s,f,n,f,n,f,,n,k,e,e,s,s,w,w,w,o,p,n,y,u
p,x,,w,t,p,f,c,n,k,e,e,s,s,w,w,w,o,p,,v,g
e,x,y,w,t,a,f,c,b,g,e,,s,s,w,w,w,o,p,n,n,m
p,f,y,n,t,p,f,,n,p,e,e,s,s,w,w,w,o,p,k,v,g
e,f,s,g,f,n,f,w,b,,t,e,s,s,w,w,w,o,e,n,a,g
e,x,s,y,,l,f,c,b,g,e,,s,s,w,w,w,o,p,n,s,m
e,x,s,w,f,n,f,,b,n,t,e,s,f,w,w,w,o,e,k,s,g
e,b,s,y,t,a,f,c,b,w,e,,s,s,w,w,w,o,p,n,n,g
e,f,,g,,n,f,w,b,h,t,e,s,s,w,w,w,o,e,n,,g
e,x,s,w,t,l,f,c,b,n,e,c,s,s,w,w,w,o,p,k,n,g
,b,s,w,t,l,f,c,b,n,e,,s,s,w,w,w,o,p,n,s,m
e,b,s,w,t,l,f,c,b,w,e,,s,s,w,w,w,o,p,n,s,g
e,b,y,w,t,l,f,c,b,w,e,,s,s,w,w,w,,p,n,s,m
e,f,s,w,t,l,f,w,n,w,t,,s,s,w,w,w,o,p,,v,d
e,x,,y,t,l,f,c,b,g,e,,s,s,w,w,w,o,p,k,s,m
e,f,,w,t,a,f,w,n,p,t,,s,s,w,w,w,o,p,n,v,d
p,x,,w,t,p,f,c,n,w,e,e,s,s,w,w,w,o,p,,v,u
e,f,f,w,t,l,,,n,w,t,b,s,s,w,w,w,,p,n,v,d
