class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-color,ring-number,ring-type,spore-print-color,population,habitat
p,x,s,n,t,,f,c,n,k,e,e,s,s,w,w,w,,,k,s,u
e,x,s,y,t,a,f,c,b,k,e,c,s,s,w,w,w,,p,n,n,g
e,b,s,w,,l,f,c,b,n,e,c,s,s,w,w,w,,p,n,n,m
p,x,y,w,,p,f,c,n,n,e,e,s,s,w,w,w,o,,k,s,u
e,x,s,g,f,n,f,w,b,k,t,e,s,s,,w,w,o,e,n,a,g
e,x,y,y,t,a,f,,,n,e,c,s,s,w,w,w,o,,k,n,g
e,b,s,w,t,a,f,c,b,g,e,c,,s,w,w,w,o,p,k,n,m
e,b,y,w,,l,f,c,b,n,e,c,s,s,w,w,w,,,n,s,m
p,x,y,w,t,p,f,c,n,p,e,e,s,s,w,w,w,,p,k,v,g
e,b,s,y,t,a,f,c,b,g,e,c,s,s,w,w,w,o,p,k,,m
e,x,y,y,,l,f,c,b,g,e,c,s,s,w,w,w,o,,n,n,g
e,x,y,y,t,a,f,c,b,n,e,c,s,s,w,w,w,,p,k,s,m
e,b,s,y,t,a,f,c,b,w,e,c,s,s,,w,w,o,p,n,s,g
p,x,y,w,t,,f,c,n,k,e,e,s,s,w,w,w,o,,n,v,u
e,x,f,n,f,,f,w,b,n,t,e,s,f,w,w,w,o,e,k,,g
e,s,f,g,f,n,f,c,n,k,e,e,s,s,,w,w,,p,n,y,u
e,f,f,w,f,n,f,w,b,k,t,e,s,s,w,w,w,o,e,n,a,g
p,x,s,n,t,,f,,,n,e,e,s,s,w,w,w,o,p,k,,g
p,x,y,w,t,p,f,c,n,n,e,e,s,s,w,w,w,o,,n,s,u
p,x,s,n,t,p,f,c,n,k,e,e,s,s,,w,w,o,p,n,s,u
e,b,s,y,t,a,f,c,b,k,e,c,s,s,w,w,w,o,,n,s,m
p,x,y,n,t,,f,c,n,n,e,e,s,s,w,w,w,o,p,n,,g
e,b,y,y,t,l,f,c,b,k,e,c,s,s,w,w,w,o,,n,s,m
e,b,y,w,t,a,f,,b,w,e,c,,s,w,w,w,o,,n,n,
e,b,s,w,t,l,f,c,b,g,e,,s,s,w,w,w,o,p,k,s,m
p,f,s,w,t,p,f,c,n,n,e,e,s,s,w,w,w,o,p,n,v,g
e,x,y,y,,a,f,c,b,n,e,,s,s,w,w,w,o,p,n,n,m
e,x,y,w,,l,f,c,b,w,e,c,s,s,w,w,w,o,p,n,,m
e,f,f,n,f,n,f,c,n,k,e,e,s,s,w,w,w,o,p,k,y,u
e,x,s,y,,a,f,w,n,n,t,b,s,s,w,w,w,,p,n,v,d
e,b,s,y,,l,f,c,b,g,e,c,s,s,w,w,w,o,p,n,n,m
p,x,y,w,t,p,f,c,n,k,e,e,s,s,w,w,w,o,p,n,,u
e,x,y,y,t,l,f,c,b,n,e,c,s,s,w,w,w,,p,n,n,
e,x,y,n,t,l,f,c,b,p,e,r,s,y,,w,w,o,p,n,y,p
e,b,y,y,t,l,f,c,b,n,e,,s,s,,w,w,o,p,n,s,m
e,x,f,y,t,,f,w,,w,t,b,s,s,,w,w,,p,n,v,d
