class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-color,ring-number,ring-type,spore-print-color,population,habitat
p,x,s,,t,p,f,c,n,k,e,e,,s,w,w,w,o,p,k,,u
e,x,s,y,t,a,f,c,b,k,e,c,s,s,w,w,,o,p,n,,g
e,b,s,w,t,l,f,c,b,n,e,c,s,s,w,w,w,,p,,,m
p,x,y,w,t,p,f,c,n,n,e,e,s,s,w,w,,o,p,k,s,u
e,x,s,,f,n,f,w,,k,t,e,s,s,w,w,w,o,e,n,a,g
e,x,y,y,t,a,f,c,b,n,e,c,s,s,w,w,w,o,p,k,,g
e,b,s,w,t,a,f,c,b,g,e,c,s,s,w,w,w,o,p,k,,m
e,,y,,t,l,f,c,b,n,e,c,,s,w,w,,,p,,s,m
p,x,y,w,t,p,f,c,n,p,e,e,s,s,w,w,w,o,p,k,v,g
e,b,s,,t,a,f,c,b,g,e,c,s,s,w,w,,o,p,k,,m
e,x,y,y,t,l,f,c,b,g,e,c,s,s,w,w,w,o,p,n,n,g
e,x,y,y,t,a,f,c,b,n,e,c,,s,w,w,w,o,p,k,s,m
e,b,s,,t,a,f,c,,w,e,c,s,s,w,w,,o,p,n,s,g
p,x,y,w,t,p,f,c,n,k,,e,s,s,w,w,w,o,p,,,u
e,x,f,,f,n,f,w,b,n,t,e,,f,w,w,w,o,e,,a,g
e,s,f,g,f,n,f,c,n,k,,e,s,s,w,w,,o,p,n,y,u
e,f,f,,f,n,f,w,b,k,t,e,s,s,w,w,w,o,e,n,a,g
p,x,s,n,t,p,f,c,n,n,e,e,s,s,w,w,,o,p,,s,g
p,x,y,w,t,p,f,c,n,n,e,e,s,,w,w,w,o,p,,s,u
p,x,s,,t,p,f,c,n,k,e,e,s,s,w,w,,o,p,n,s,u
e,b,s,y,t,a,f,c,b,k,e,c,,s,w,w,w,o,p,n,,m
p,x,y,n,t,p,f,c,n,n,e,e,s,,w,w,,o,p,n,,g
e,b,y,y,t,l,f,c,b,k,e,c,s,s,w,w,w,,p,n,s,m
e,b,y,w,t,a,f,c,b,w,e,c,s,s,w,w,w,o,p,n,n,m
e,b,s,,t,l,f,c,b,g,e,c,s,s,w,w,w,,p,,,m
p,f,s,w,t,p,f,c,n,n,e,e,s,s,w,w,w,o,p,,,g
e,x,y,y,t,a,f,c,b,n,e,c,s,s,w,w,w,o,p,,n,m
e,x,y,,t,l,f,c,b,w,e,c,s,s,w,w,w,o,p,n,,m
e,f,f,n,f,n,f,c,n,k,e,e,s,s,w,w,w,o,p,k,y,u
e,x,s,y,t,a,f,w,n,n,t,b,s,s,w,w,w,o,p,,v,d
e,b,s,y,t,l,f,c,b,g,e,c,s,,w,w,w,o,p,n,n,m
p,x,y,,t,p,f,c,n,k,e,e,s,s,w,w,w,,p,,s,u
e,x,y,y,t,l,f,c,b,n,e,c,s,s,w,w,w,o,p,n,,m
e,x,y,n,t,l,f,c,b,p,e,r,s,,w,w,w,o,p,n,,p
e,b,y,,t,l,f,c,b,n,e,c,s,s,w,w,w,o,p,,,m
e,x,f,y,t,l,f,w,n,w,t,b,s,s,w,w,w,,p,,,d
e,s,f,g,f,n,f,c,n,k,e,e,s,s,w,w,w,o,p,k,,u
p,x,y,,t,p,f,c,n,w,e,e,s,s,w,w,,,p,,,u
e,x,f,y,t,a,f,w,n,p,t,b,s,s,w,w,,o,p,n,v,d
e,b,s,,t,l,f,c,b,k,e,c,,s,w,w,w,o,p,k,s,m
e,b,y,y,t,a,f,c,b,n,e,c,s,s,w,w,w,o,p,,,g
e,x,y,y,t,l,f,c,b,n,e,r,s,y,w,w,w,o,p,k,y,p
e,x,f,n,f,n,f,c,n,g,,e,s,s,w,w,,,p,k,y,u
p,x,y,,t,p,f,c,n,p,e,e,s,,w,w,w,o,p,n,v,g
e,x,s,y,t,a,f,c,b,w,,c,,s,w,w,,o,p,k,n,m
e,x,y,w,t,a,f,c,b,n,e,c,s,s,w,w,w,o,p,n,n,g
e,x,y,,t,l,f,c,,k,e,c,s,s,w,w,w,o,p,k,s,m
e,x,s,w,t,l,f,c,b,w,e,c,s,s,w,w,w,,p,n,n,m
e,x,y,,t,l,f,c,b,n,e,r,s,y,w,w,w,o,p,,s,p
e,f,y,,t,l,f,c,b,w,e,r,s,y,w,w,,o,p,k,,p
e,x,y,,t,a,f,c,b,w,e,r,,y,w,w,,,p,k,s,g
e,x,s,w,t,l,f,c,b,k,e,c,s,s,w,w,w,o,p,k,,g
e,b,s,w,t,l,f,c,b,k,e,c,s,s,w,w,w,o,p,n,,m
p,x,y,n,t,p,f,c,n,k,e,e,s,s,w,w,w,o,p,n,,u
p,x,s,w,t,p,f,c,n,k,e,e,s,s,w,w,w,,p,k,v,u
e,b,y,,t,a,f,c,b,w,e,c,s,s,w,w,w,o,p,,s,m
e,f,f,,f,n,f,w,b,n,t,e,s,s,w,w,w,o,e,n,a,g
e,b,s,w,t,a,f,c,b,w,e,c,s,s,w,w,w,o,p,n,n,g
e,x,s,y,t,l,f,c,b,k,e,c,s,s,w,w,w,o,p,k,n,g
e,x,y,n,t,a,f,c,b,p,e,r,s,y,w,w,w,o,p,k,y,p
e,s,f,g,f,n,f,c,n,k,e,e,s,,w,w,w,,p,n,v,u
e,b,y,y,t,a,f,c,b,k,e,c,s,s,w,w,w,o,p,n,,m
e,b,s,,t,l,f,c,b,g,e,c,s,s,w,w,w,o,p,n,,m
e,b,y,y,t,l,f,c,b,g,e,c,s,s,w,w,,o,p,n,n,m
e,b,y,,t,l,f,c,b,n,e,c,,s,w,w,w,o,p,,s,g
e,f,s,,f,n,f,w,b,k,t,e,s,,w,w,w,o,e,k,,g
e,x,s,w,t,l,f,c,b,n,e,c,s,s,w,w,w,o,p,,s,g
e,f,y,y,t,a,f,c,b,w,e,r,s,y,w,w,w,o,p,n,s,g
e,x,y,y,t,a,f,c,,w,e,c,s,s,w,w,w,o,p,k,n,g
e,,f,,f,n,f,c,n,p,e,e,s,s,w,w,w,o,p,n,v,u
e,f,f,y,t,l,f,w,n,p,t,b,s,s,w,w,w,o,p,n,,d
e,b,y,,t,l,f,c,b,g,e,c,s,s,w,w,w,o,p,n,,m
e,f,f,y,t,l,f,w,n,w,t,b,s,s,w,w,w,o,p,n,,d
e,x,y,,t,a,f,c,b,p,e,r,s,y,w,w,,o,p,,s,p
e,b,s,,t,a,f,c,b,k,e,c,,s,w,w,w,o,p,k,s,g
e,f,s,y,t,l,f,w,n,p,t,b,s,s,w,w,w,o,p,n,,d
e,x,s,w,t,l,f,w,n,n,t,b,s,s,w,w,w,o,p,,v,d
e,f,y,n,t,l,f,c,b,p,e,r,s,y,w,w,w,o,p,n,,p
p,x,y,n,t,p,f,c,n,w,e,e,,s,w,w,,o,p,,,u
e,f,y,n,t,a,f,c,b,n,e,r,s,y,w,w,w,o,p,n,y,g
e,x,s,,f,n,f,w,,k,t,e,,s,w,w,w,o,e,,s,g
p,x,y,w,t,p,f,c,n,w,e,e,s,s,w,w,w,o,p,k,,g
e,f,f,g,f,n,f,c,n,n,e,e,s,,w,w,w,o,p,n,,u
e,x,f,,f,n,f,w,b,n,t,e,s,s,w,w,w,o,e,,s,g
e,x,y,,t,l,f,c,b,w,e,r,,y,w,w,w,o,p,k,s,g
e,x,s,,f,n,f,w,b,k,t,e,s,s,w,w,w,o,e,k,s,g
e,b,s,,t,a,f,c,b,w,e,c,s,s,w,w,w,,p,,s,g
e,x,s,,t,l,f,c,b,n,e,c,,s,w,w,,,p,n,s,g
e,f,y,n,t,l,f,c,b,w,e,r,s,y,w,w,w,o,p,k,,g
